date,open,high,low,close,adjclose,volume
2018-10-22,219.79,223.36,218.94,220.65,216.115,28751540
2018-10-23,215.83,223.25,214.7,222.73,218.152,38681170
2018-10-24,222.6,224.23,214.54,215.09,210.669,39992120
2018-10-25,217.71,221.38,216.75,219.8,215.282,29027340
2018-10-26,215.9,220.19,212.67,216.3,211.855,47191700
2018-10-29,219.19,219.69,206.09,212.24,207.878,45713690
2018-10-30,211.15,215.18,209.27,213.3,208.916,36487930
2018-10-31,216.88,220.45,216.62,218.86,214.362,38016810
2018-11-01,219.05,222.36,216.81,222.22,217.653,52954070
2018-11-02,209.55,213.65,205.43,207.48,203.216,91046560
2018-11-05,204.3,204.39,198.17,201.59,197.447,66072170
2018-11-06,201.92,204.72,201.69,203.77,199.582,31774720
2018-11-07,205.97,210.06,204.13,209.95,205.635,33291640
2018-11-08,209.98,210.12,206.75,208.49,204.917,25289270
2018-11-09,205.55,206.01,202.25,204.47,200.966,34317760
2018-11-12,199,199.85,193.79,194.17,190.843,50991030
2018-11-13,191.63,197.18,191.45,192.23,188.936,46725710
2018-11-14,193.9,194.48,185.93,186.8,183.599,60547340
2018-11-15,188.39,191.97,186.9,191.41,188.13,46271660
2018-11-16,190.5,194.97,189.46,193.53,190.214,36191330
2018-11-19,190,190.7,184.99,185.86,182.675,41626820
2018-11-20,178.37,181.47,175.51,176.98,173.947,67678680
2018-11-21,179.73,180.27,176.55,176.78,173.751,31096240
2018-11-23,174.94,176.595,172.1,172.29,169.338,23623970
2018-11-26,174.24,174.95,170.26,174.62,171.628,44662320
2018-11-27,171.51,174.77,170.88,174.24,171.254,41156140
2018-11-28,176.73,181.29,174.93,180.94,177.84,45941750
2018-11-29,182.66,182.8,177.7,179.55,176.473,41523580
2018-11-30,180.29,180.33,177.03,178.58,175.52,39424260
2018-12-03,184.46,184.94,181.21,184.82,181.653,40537700
2018-12-04,180.95,182.39,176.27,176.69,173.662,41141250
2018-12-06,171.76,174.78,170.42,174.72,171.726,42704910
2018-12-07,173.49,174.49,168.3,168.49,165.603,41678680
2018-12-10,165,170.09,163.33,169.6,166.694,61759000
2018-12-11,171.66,171.79,167,168.63,165.74,45968040
2018-12-12,170.4,171.92,169.02,169.1,166.202,35474680
2018-12-13,170.49,172.57,169.55,170.95,168.021,31754210
2018-12-14,169,169.08,165.28,165.48,162.644,40620360
2018-12-17,165.45,168.35,162.73,163.94,161.131,43250420
2018-12-18,165.38,167.53,164.39,166.07,163.224,33753490
2018-12-19,166,167.45,159.09,160.89,158.133,47597670
2018-12-20,160.4,162.11,155.3,156.83,154.143,64398230
2018-12-21,156.86,158.16,149.63,150.73,148.147,95497900
2018-12-24,148.15,151.55,146.59,146.83,144.314,37169230
2018-12-26,148.3,157.23,146.72,157.17,154.477,58133850
2018-12-27,155.84,156.77,150.07,156.15,153.474,51608850
2018-12-28,157.5,158.52,154.55,156.23,153.553,41740600
2018-12-31,158.53,159.36,156.48,157.74,155.037,34499390
2019-01-02,154.89,158.85,154.23,157.92,155.214,35637070
2019-01-03,143.98,145.72,142,142.19,139.754,91272103
2019-01-04,144.53,148.55,143.8,148.26,145.72,58582113
2019-01-07,148.7,148.83,145.9,147.93,145.395,54747383
2019-01-08,149.56,151.82,148.52,150.75,148.167,40957937
2019-01-09,151.29,154.53,149.63,153.31,150.683,45071296
2019-01-10,152.5,153.97,150.86,153.8,151.165,35693858
2019-01-11,152.88,153.7,151.51,152.29,149.68,26979208
2019-01-14,150.85,151.27,149.22,150,147.43,32018540
2019-01-15,150.27,153.39,150.05,153.07,150.447,28686640
2019-01-16,153.08,155.88,153,154.94,152.285,30552856
2019-01-17,154.2,157.66,153.26,155.86,153.189,29638284
2019-01-18,157.5,157.88,155.981,156.82,154.133,33259460
2019-01-22,156.41,156.73,152.62,153.3,150.673,30379637
2019-01-23,154.15,155.14,151.7,153.92,151.282,23123253
2019-01-24,154.11,154.48,151.74,152.7,150.083,25429265
2019-01-25,155.48,158.13,154.32,157.76,155.057,33526943
2019-01-28,155.79,156.33,153.66,156.3,153.622,24691502
2019-01-29,156.25,158.13,154.11,154.68,152.03,41587239
2019-01-30,163.25,166.15,160.23,165.25,162.418,61109780
2019-01-31,166.11,169,164.56,166.44,163.588,40613260
2019-02-01,166.96,168.98,165.93,166.52,163.667,32644590
2019-02-04,167.41,171.655,167.28,171.25,168.316,31384720
2019-02-05,172.86,175.08,172.35,174.18,171.195,36054570
2019-02-06,174.65,175.57,172.853,174.24,171.254,28228865
2019-02-07,172.4,173.94,170.34,170.94,168.011,31706078
2019-02-08,168.99,170.66,168.42,170.41,168.208,23793830
2019-02-11,171.05,171.21,169.25,169.43,167.241,20940020
2019-02-12,170.1,171,169.7,170.89,168.682,22224400
2019-02-13,171.39,172.48,169.92,170.18,167.981,22389660
2019-02-14,169.71,171.262,169.38,170.8,168.593,21785180
2019-02-15,171.25,171.7,169.75,170.42,168.218,24603320
2019-02-19,169.71,171.44,169.49,170.93,168.722,18958570
2019-02-20,171.19,173.32,170.99,172.03,169.807,25323890
2019-02-21,171.8,172.37,170.3,171.06,168.85,17154540
2019-02-22,171.58,173,171.38,172.97,170.735,18890250
2019-02-25,174.16,175.87,173.95,174.23,171.979,21846400
2019-02-26,173.71,175.3,173.173,174.33,172.078,16991610
2019-02-27,173.21,175,172.73,174.87,172.611,27817640
